fdcId,foodDescription,factorIndex,nutrientConversionFactor.type,nutrientConversionFactor.proteinValue,nutrientConversionFactor.fatValue,nutrientConversionFactor.carbohydrateValue,nutrientConversionFactor.value,nutrientConversionFactor.nitrogenValue
331897,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",0,.CalorieConversionFactor,4.27,9.02,3.87,,
331897,"Chicken, broilers or fryers, drumstick, meat only, cooked, braised",1,.ProteinConversionFactor,,,,6.25,
331960,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",0,.CalorieConversionFactor,4.27,9.02,3.87,,
331960,"Chicken, broiler or fryers, breast, skinless, boneless, meat only, cooked, braised",1,.ProteinConversionFactor,,,,6.25,
332282,"Sauce, pasta, spaghetti/marinara, ready-to-serve",0,.ProteinConversionFactor,,,,6.25,
332282,"Sauce, pasta, spaghetti/marinara, ready-to-serve",1,.CalorieConversionFactor,2.44,8.37,3.57,,
332397,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",0,.ProteinConversionFactor,,,,6.25,
332397,"Ham, sliced, pre-packaged, deli meat (96%fat free, water added)",1,.CalorieConversionFactor,4.27,9.02,3.87,,
332791,"Olives, green, Manzanilla, stuffed with pimiento",0,.CalorieConversionFactor,3.36,8.37,3.6,,
332791,"Olives, green, Manzanilla, stuffed with pimiento",1,.ProteinConversionFactor,,,,6.25,
333008,"Cookies, oatmeal, soft, with raisins",0,.CalorieConversionFactor,4.0,9.0,4.0,,
333008,"Cookies, oatmeal, soft, with raisins",1,.ProteinConversionFactor,,,,6.25,
333281,"Tomatoes, canned, red, ripe, diced",0,.ProteinConversionFactor,,,,6.25,
333281,"Tomatoes, canned, red, ripe, diced",1,.CalorieConversionFactor,2.44,8.37,3.57,,
333374,"Fish, haddock, raw",0,.CalorieConversionFactor,4.27,9.02,3.87,,
333374,"Fish, haddock, raw",1,.ProteinConversionFactor,,,,6.25,
333476,"Fish, pollock, raw",0,.ProteinConversionFactor,,,,6.25,
333476,"Fish, pollock, raw",1,.CalorieConversionFactor,4.27,9.02,3.87,,
334536,"Restaurant, Chinese, fried rice, without meat",0,.ProteinConversionFactor,,,,6.25,
334536,"Restaurant, Chinese, fried rice, without meat",1,.CalorieConversionFactor,4.0,9.0,4.0,,
334628,"Restaurant, Latino, tamale, pork",0,.ProteinConversionFactor,,,,6.25,
334628,"Restaurant, Latino, tamale, pork",1,.CalorieConversionFactor,4.0,9.0,4.0,,
334720,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",0,.CalorieConversionFactor,4.0,9.0,4.0,,
334720,"Restaurant, Latino, pupusas con frijoles (pupusas, bean)",1,.ProteinConversionFactor,,,,6.25,
335240,"Bread, whole-wheat, commercially prepared",0,.CalorieConversionFactor,4.0,9.0,4.0,,
335240,"Bread, whole-wheat, commercially prepared",1,.ProteinConversionFactor,,,,6.25,
746758,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",0,.ProteinConversionFactor,,,,6.25,
746758,"Beef, loin, tenderloin roast, separable lean only, boneless, trimmed to 0"" fat, select, cooked, roasted",1,.CalorieConversionFactor,4.27,9.02,3.87,,
746759,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",0,.CalorieConversionFactor,4.27,9.02,3.87,,
746759,"Beef, loin, top loin steak, boneless, lip-on, separable lean only, trimmed to 1/8"" fat, choice, raw",1,.ProteinConversionFactor,,,,6.25,
746760,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",0,.ProteinConversionFactor,,,,6.25,
746760,"Beef, round, eye of round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",1,.CalorieConversionFactor,4.27,9.02,3.87,,
746761,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",0,.ProteinConversionFactor,,,,6.25,
746761,"Beef, round, top round roast, boneless, separable lean only, trimmed to 0"" fat, select, raw",1,.CalorieConversionFactor,4.27,9.02,3.87,,
746762,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",0,.ProteinConversionFactor,,,,6.25,
746762,"Beef, short loin, porterhouse steak, separable lean only, trimmed to 1/8"" fat, select, raw",1,.CalorieConversionFactor,4.27,9.02,3.87,,
746763,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",0,.CalorieConversionFactor,4.27,9.02,3.87,,
746763,"Beef, short loin, t-bone steak, bone-in, separable lean only, trimmed to 1/8"" fat, choice, cooked, grilled",1,.ProteinConversionFactor,,,,6.25,
746764,"Carrots, frozen, unprepared",0,.CalorieConversionFactor,2.78,8.37,3.84,,
746764,"Carrots, frozen, unprepared",1,.ProteinConversionFactor,,,,6.25,
746765,"Cheese, dry white, queso seco",0,.ProteinConversionFactor,,,,6.38,
